Full Name,Date of Hire,Salary (USD),Grade Level,Location,Country
Dorris Ayers,3/31/2012,83500,3,Chicago,USA
Freeman Rennold,6/11/2012,109900,4,Chicago,USA
José Snyders,12/12/2015,52100,2,Chicago,USA
Dwayne Paget,4/5/2015,54900,2,Chicago,USA
Gerard Freeman,2/6/2012,84900,3,Chicago,USA
Alfreda Basurto,11/3/2014,77000,3,Chicago,USA
Amaro Moss,11/14/2015,83100,3,Chicago,USA
Rayen Brassington,11/20/2014,85400,3,Chicago,USA
Lenard Pinto,9/24/2013,96100,3,Chicago,USA
Braith Jekyll,4/24/2015,81600,3,Chicago,USA
Duncan Sinclair,4/16/2010,117800,4,Chicago,USA
Aubrey Villanueva,1/21/2011,116700,4,Los Angeles,USA
Jacobo Hadaway,12/23/2013,110900,4,Los Angeles,USA
Wendy Devine,3/20/2015,78700,3,Los Angeles,USA
Albino Church,1/31/2016,67000,2,Los Angeles,USA
Flora Beck,4/22/2014,103300,4,Los Angeles,USA
Clarissa Summers,3/27/2017,63900,2,Los Angeles,USA
Nieves Pierson,8/29/2017,46900,2,Los Angeles,USA
Candida Jarrett,3/23/2013,88500,3,Los Angeles,USA
Regan Cropper,5/26/1996,225000,5,Los Angeles,USA
Lela Roach,10/23/2015,91700,3,Los Angeles,USA
Cornelia Cummings,1/27/2018,52000,2,Los Angeles,USA
Therese Reed,2/22/2012,110500,4,Los Angeles,USA
Darby Lyons,1/23/2016,58200,2,Los Angeles,USA
Barrett Auteberry,3/29/2016,63100,2,Los Angeles,USA
Esmee Tailor,9/5/2011,102600,4,Los Angeles,USA
María Pilar Jakeman,3/5/2017,50800,2,Los Angeles,USA
Prudence Delaney,12/5/2014,82600,3,Los Angeles,USA
Tomasa Ray,7/12/2018,45900,2,Los Angeles,USA
Orval Hamilton,4/14/2016,57300,2,Los Angeles,USA
Raphael Schindler,7/17/2016,69000,2,Berlin,Germany
Beate Abt,3/3/2015,72900,2,Berlin,Germany
Knut Vieth,8/27/2014,65300,2,Berlin,Germany
Gotthard Meinhardt,11/2/2016,72100,2,Berlin,Germany
Emilie Schmitt,4/9/2015,86400,3,Berlin,Germany
Paula Raskob,11/20/2014,94400,3,Berlin,Germany
Emilia Eilerts,8/26/2014,70000,2,Berlin,Germany
Hilda Havener,5/23/2015,78400,3,Berlin,Germany
Philomena Groos,1/6/2006,225000,5,Berlin,Germany
Elena Hofer,3/4/2016,55100,2,Berlin,Germany
Marius Bachman,2/27/2014,75400,3,Berlin,Germany
Marcella Gott,7/31/2015,79800,3,Berlin,Germany
Flora Hoch,3/13/2014,125000,4,Berlin,Germany
Silvia Regenbogen,12/3/2015,72900,2,Berlin,Germany
Robert Baumgartner,10/27/2015,91500,3,Berlin,Germany
Arnold Karl,1/7/2016,47700,2,Berlin,Germany
Ewald Aleshire,2/5/2015,67300,2,Berlin,Germany
Stefan Schröder,10/7/2017,59800,2,Berlin,Germany
Rosalie Wörner,12/4/2014,67000,2,Berlin,Germany
Philippa Gruber,2/19/2016,64500,2,Berlin,Germany
Linda Steuben,7/11/2017,47500,2,Berlin,Germany
Siegbert Schuster,6/11/2017,49900,2,Berlin,Germany
Leonard Southers,3/25/2015,95500,3,Berlin,Germany
Josef Schröder,5/7/2018,48200,2,Berlin,Germany
Levi Krause,11/30/2016,49700,2,Berlin,Germany
Yaling Sung,1/7/2018,35300,1,Beijing,China
Jin Yang,1/16/2016,56600,2,Beijing,China
Lian Chen,8/30/2017,55500,2,Beijing,China
Jie Hou,6/26/2012,125000,4,Beijing,China
Min Chu,6/13/2015,53100,2,Beijing,China
Xiu Ng,6/12/2018,45500,2,Beijing,China
Mei Chu,11/22/2018,34500,1,Beijing,China
Shu Kwok,7/23/2017,63600,2,Beijing,China
Xue Tan,3/28/2018,25600,1,Beijing,China
Qiu Tang,4/24/2017,46300,2,Beijing,China
Fang Hou,11/28/2018,32700,1,Beijing,China
Ping Jiang,8/5/2017,39000,1,Beijing,China
Shun Zhao,1/18/2017,51000,2,Beijing,China
Fen Ren,12/14/2017,41700,2,Shanghai,China
Lei Yeung,7/3/2017,62000,2,Shanghai,China
Xiang Kuang,9/16/2016,42700,2,Shanghai,China
Cheng Lam,12/29/2017,34500,1,Shanghai,China
Lin Ma,7/21/2016,42600,2,Shanghai,China
Lan Fan,7/1/2018,32500,1,Shanghai,China
Bao Ma,5/8/2017,51200,2,Shanghai,China
Tu Man,3/23/1998,225000,5,Shanghai,China
Lim Song,11/2/2018,36200,1,Shanghai,China
Mei Hou,5/1/2018,46500,2,Shanghai,China
Jianhong Guo,12/27/2015,60900,2,Shanghai,China
Jin Yu,7/11/2018,45000,2,Shanghai,China
Huang Yu,10/22/2018,36700,1,Shanghai,China
Cheng Yu,7/1/2017,41400,2,Shanghai,China
Jingyi Xun,9/27/2016,58100,2,Shanghai,China
Guo Tan,6/29/2018,33500,1,Shanghai,China
Qiang Sung,2/24/2015,58100,2,Shanghai,China
Zhong Chou,11/13/2018,35700,1,Shanghai,China
Cheng Pan,1/19/2017,43700,2,Shanghai,China
Yin Yuen,5/6/2018,43300,2,Shanghai,China
Juan Jin,4/29/2019,25700,1,Shanghai,China
Shu Chou,4/24/2018,32900,1,Shanghai,China
J?r? Nakano,9/30/2016,62700,2,Tokyo,Japan
Kyoko Fujimori,3/17/2019,32800,1,Tokyo,Japan
Saori Sugiyama,4/27/2018,32800,1,Tokyo,Japan
Kichiro Kat?,10/19/2016,75900,3,Tokyo,Japan
Takahiro Kawaguchi,12/22/2017,51500,2,Tokyo,Japan
Nobutoshi Ogawa,3/13/2017,37900,1,Tokyo,Japan
Ema Satou,9/11/2013,77800,3,Tokyo,Japan
Akemi Akiyama,10/13/2017,35700,1,Tokyo,Japan
Mitsuko Hayashi,9/24/2017,55600,2,Tokyo,Japan
Akihito Izumi,4/24/2017,57200,2,Tokyo,Japan
Shin'ichi Tachibana,4/14/2017,68600,2,Tokyo,Japan
Daichi Kawakami,1/5/2016,90000,3,Tokyo,Japan
Y?ta Sano,3/9/2018,51100,2,Tokyo,Japan
Chikako Kamiya,6/22/2017,62500,2,Tokyo,Japan
Kur? Nakahara,4/7/2018,46600,2,Tokyo,Japan
Takara Nakamura,4/28/2015,73100,2,Tokyo,Japan
Kousuke Kanzaki,11/23/2016,57500,2,Tokyo,Japan
Hideyoshi Yoshioka,3/22/2015,74400,2,Tokyo,Japan
Saburo Tanaka,8/22/2017,50900,2,Tokyo,Japan
Nanami Yoshida,4/23/2018,43900,2,Tokyo,Japan
Rikuto Fujiwara,11/24/2015,71400,2,Tokyo,Japan
Shichirou Morikawa,4/9/2018,50600,2,Tokyo,Japan
Suzu Yoshida,7/14/2011,125000,4,Tokyo,Japan
Hiroshi Kazama,5/21/2018,38800,1,Tokyo,Japan
Kenzou Aoki,12/3/2018,34800,1,Tokyo,Japan
Setsuko Itou,5/21/2016,54400,2,Tokyo,Japan
Shouta It?,9/12/2017,58600,2,Tokyo,Japan
Katsu Kitagawa,11/3/2013,71000,2,Tokyo,Japan
Takako Sanada,9/19/2018,33100,1,Tokyo,Japan
Hina Nakai,11/7/2014,63300,2,Tokyo,Japan
Colby Clifford,3/7/2017,70500,2,London,United Kingdom
Owen Huff,7/15/2017,32000,1,London,United Kingdom
Arnold Tailor,12/20/2017,37000,1,London,United Kingdom
Ida Allan,7/8/2018,42400,2,London,United Kingdom
Harvie Hilton,8/17/2018,43200,2,London,United Kingdom
Murphy Smedley,12/13/2017,39500,1,London,United Kingdom
Benjamin Ewart,6/8/2018,44700,2,London,United Kingdom
Miranda Winter,1/20/2014,125000,4,London,United Kingdom
Felicia Jeanes,5/3/2018,39500,1,London,United Kingdom
Alger Mann,12/11/2015,78200,3,London,United Kingdom
Lita Durant,7/16/2017,60100,2,London,United Kingdom
Leta Moores,3/23/1998,350000,5,London,United Kingdom
Trevor Caldwell,9/28/2018,34400,1,London,United Kingdom
Seth Simonson,9/9/2016,69900,2,London,United Kingdom
Dylan Purcell,6/24/2014,76700,3,London,United Kingdom
Lawrence Gilbert,1/5/2016,60600,2,London,United Kingdom
Beverley Taylor,7/1/2015,56700,2,London,United Kingdom
Hollie Danielson,10/13/2018,37100,1,London,United Kingdom
Deeann Jacobson,5/11/2016,68400,2,London,United Kingdom
Berenice Niles,12/19/2013,64600,2,London,United Kingdom
Harland Gardiner,5/19/2017,50800,2,Toronto,Canada
Delia Rogers,2/2/2018,51700,2,Toronto,Canada
Heather Breckenridge,8/28/2017,45700,2,Toronto,Canada
Buster Dean,3/4/2019,30700,1,Toronto,Canada
Twyla Ford,11/21/2012,125000,4,Toronto,Canada
Derrick Beck,4/12/2017,68700,2,Toronto,Canada
Rosalyn Hayley,12/17/2018,38000,1,Toronto,Canada
Clare Tyrell,2/22/2017,68300,2,Toronto,Canada
Darleen Colbert,7/16/2016,75600,3,Toronto,Canada
Chauncey Lynn,12/24/2015,79500,3,Toronto,Canada
Yadira Cabrera,5/15/2018,32200,1,Mexico City,Mexico
Leire Figueroa,9/28/2016,61200,2,Mexico City,Mexico
Camilo Chávez,5/31/2018,40300,2,Mexico City,Mexico
Bibiana Rodriquez,7/14/2015,50300,2,Mexico City,Mexico
Fátima Ojeda,6/8/2013,125000,4,Mexico City,Mexico
Balduino Campana,6/10/2015,90000,3,Mexico City,Mexico
Isabela San Nicolás,6/26/2015,62900,2,Mexico City,Mexico
Timoteo Díaz,9/29/2018,41100,2,Mexico City,Mexico
Amílcar Varela,5/11/2018,48000,2,Mexico City,Mexico
Alejandro Alamilla,4/29/2018,34700,1,Mexico City,Mexico
Blanche Lawrence,9/16/2017,58400,2,Sydney,Australia
Sheldon Allsopp,9/1/2018,36400,1,Sydney,Australia
Gertrude Peterson,4/2/2015,71900,2,Sydney,Australia
Zena Spears,6/5/2016,55600,2,Sydney,Australia
Marina Aston,2/8/2018,41800,2,Sydney,Australia
Lyle Samson,9/21/2015,64100,2,Sydney,Australia
Zachariah Fry,6/11/2018,38900,1,Sydney,Australia
Ursula Hayward,12/7/2016,58500,2,Sydney,Australia
Goldie Emmett,10/18/1998,325000,5,Sydney,Australia
Charisse Overton,1/13/2012,125000,4,Sydney,Australia
Jasmine Jack,10/22/2016,54100,2,Sydney,Australia
Cherie Brandon,7/28/2016,62000,2,Sydney,Australia
Leigh Myers,8/23/2017,45900,2,Sydney,Australia
Darrell Beaumont,12/9/2016,62900,2,Sydney,Australia
Callan Robertson,1/8/2018,40800,2,Sydney,Australia
Christopher Randell,11/7/2015,79600,3,Sydney,Australia
Watson Shirley,10/8/2018,34000,1,Sydney,Australia
Kira Preston,8/31/2018,37300,1,Sydney,Australia
Annice Farnham,1/11/2019,34500,1,Sydney,Australia
Winfred Parsons,8/10/2018,30200,1,Sydney,Australia
Osama Zaman,1/21/2018,42500,2,Dubai,UAE
Haniyah Abdullah,5/21/2017,34700,1,Dubai,UAE
Afif Najm,2/11/2016,50400,2,Dubai,UAE
Safiya Al-Hashim,6/26/2012,125000,4,Dubai,UAE
Murtada Nagi,11/28/2015,90000,3,Dubai,UAE
Laila Al-Amin,1/27/2017,59400,2,Dubai,UAE
Abul-Fazl Bousaid,2/24/2017,61100,2,Dubai,UAE
Fouad Al-Amin,5/16/2017,60300,2,Dubai,UAE
Nuh El-Mofty,9/16/2017,58400,2,Dubai,UAE
Hikmat Naaji,11/24/2016,74100,2,Dubai,UAE
Beulah Mason,2/3/2017,59100,2,Cape Town,South Africa
Clarice Salvage,10/27/2016,75500,3,Cape Town,South Africa
Businge Gabrielson,4/6/2011,175000,4,Cape Town,South Africa
Chifundo Adair,9/11/2014,95000,3,Cape Town,South Africa
Jewell Willey,3/10/2017,63300,2,Cape Town,South Africa
Ardath Newton,7/7/2017,39900,1,Cape Town,South Africa
Orpha Fowler,7/22/2018,37200,1,Cape Town,South Africa
Laurel Westbrook,9/27/2017,60300,2,Cape Town,South Africa
Mandla Dwerryhouse,4/26/2014,66300,2,Cape Town,South Africa
Wardell Marshall,5/18/2017,46800,2,Cape Town,South Africa
Eli Lowe,7/16/2017,42200,2,Cape Town,South Africa
Ardath King,5/24/2018,40600,2,Cape Town,South Africa
